المحصول,المحافظة,نوع_التربة,طريقة_الري,جودة_البذور,نوع_السماد,كمية_السماد_بالكغم,الحرارة,الرطوبة,الإنتاج_بالدونم
خضراوات,واسط,مختلطة,سيحي/غمر,محسنة,عضوي,93.0,21.2,36.4,2164.0
شعير,البصرة,مختلطة,تنقيط,محسنة,داب (DAP),27.0,26.6,60.9,889.0
خضراوات,كربلاء,رملية,سيحي/غمر,عادية,يوريا (N),94.0,41.3,64.1,2228.0
فواكه,ميسان,طينية,تنقيط,محسنة,مركب (NPK),55.0,26.2,66.6,2132.0
خضراوات,واسط,طينية,تنقيط,محسنة,مركب (NPK),108.0,22.1,42.7,2951.0
تمور,ديالى,طينية,تنقيط,محسنة,يوريا (N),119.0,15.3,74.3,1080.0
ذرة,بابل,رملية,تنقيط,عادية,يوريا (N),88.0,23.8,39.7,1735.0
حنطة,كربلاء,مختلطة,سيحي/غمر,محسنة,داب (DAP),77.0,16.7,53.0,1135.0
رز,الموصل,طينية,رش محوري,عادية,عضوي,36.0,18.0,25.0,1190.0
ذرة,الموصل,رملية,رش محوري,محسنة,يوريا (N),56.0,22.0,54.9,1737.0
رز,بغداد,مختلطة,سيحي/غمر,محسنة,عضوي,55.0,26.3,25.0,1456.0
شعير,ميسان,مختلطة,تنقيط,عادية,مركب (NPK),64.0,15.3,48.1,620.0
رز,ديالى,طينية,تنقيط,محسنة,عضوي,81.0,27.0,48.7,1225.0
تمور,واسط,رملية,سيحي/غمر,عادية,يوريا (N),80.0,24.7,22.6,2082.0
ذرة,بابل,مختلطة,سيحي/غمر,عادية,مركب (NPK),68.0,35.9,47.3,1260.0
حنطة,كربلاء,مختلطة,رش محوري,عادية,عضوي,91.0,26.8,26.4,1014.0
شعير,بابل,رملية,رش محوري,عادية,عضوي,60.0,22.8,47.2,865.0
خضراوات,واسط,طينية,سيحي/غمر,محسنة,داب (DAP),54.0,39.7,77.0,2112.0
شعير,الموصل,رملية,رش محوري,محسنة,يوريا (N),24.0,15.8,42.6,975.0
ذرة,بغداد,طينية,رش محوري,محسنة,يوريا (N),105.0,39.9,54.1,842.0
فواكه,بغداد,مختلطة,رش محوري,عادية,يوريا (N),88.0,45.0,79.8,2338.0
شعير,واسط,رملية,تنقيط,محسنة,يوريا (N),97.0,21.2,35.1,1074.0
حنطة,بغداد,رملية,تنقيط,عادية,مركب (NPK),45.0,29.9,48.6,1328.0
تمور,بغداد,طينية,رش محوري,عادية,مركب (NPK),76.0,32.7,48.8,1846.0
ذرة,الموصل,مختلطة,تنقيط,عادية,عضوي,117.0,25.5,55.4,1220.0
خضراوات,الموصل,طينية,رش محوري,محسنة,عضوي,98.0,26.9,57.3,4041.0
شعير,بابل,طينية,رش محوري,محسنة,عضوي,103.0,28.8,78.8,1160.0
رز,البصرة,طينية,تنقيط,محسنة,عضوي,114.0,27.0,61.9,1269.0
ذرة,ديالى,مختلطة,تنقيط,محسنة,عضوي,69.0,33.1,33.4,1332.0
فواكه,ميسان,رملية,سيحي/غمر,عادية,يوريا (N),24.0,28.8,32.4,1338.0
شعير,ديالى,طينية,تنقيط,محسنة,داب (DAP),75.0,41.2,75.3,684.0
حنطة,بغداد,مختلطة,سيحي/غمر,عادية,مركب (NPK),66.0,26.1,49.1,1200.0
شعير,الأنبار,طينية,رش محوري,عادية,مركب (NPK),75.0,19.0,61.2,1314.0
شعير,الموصل,رملية,تنقيط,محسنة,مركب (NPK),83.0,23.1,42.6,902.0
تمور,كربلاء,رملية,رش محوري,عادية,يوريا (N),36.0,25.3,48.4,1454.0
رز,الموصل,مختلطة,رش محوري,عادية,مركب (NPK),27.0,32.6,53.9,1020.0
شعير,بابل,رملية,تنقيط,عادية,مركب (NPK),89.0,33.2,34.2,932.0
خضراوات,كربلاء,رملية,تنقيط,عادية,داب (DAP),113.0,20.2,73.8,1918.0
فواكه,الأنبار,مختلطة,رش محوري,عادية,عضوي,111.0,42.5,20.3,2927.0
ذرة,النجف,رملية,سيحي/غمر,عادية,مركب (NPK),94.0,32.1,36.8,1129.0
خضراوات,النجف,مختلطة,سيحي/غمر,عادية,يوريا (N),31.0,18.4,56.6,2111.0
فواكه,بابل,مختلطة,تنقيط,محسنة,داب (DAP),69.0,28.6,52.9,2442.0
شعير,الأنبار,طينية,تنقيط,محسنة,يوريا (N),36.0,18.5,48.4,1101.0
فواكه,بغداد,رملية,رش محوري,عادية,يوريا (N),94.0,43.2,30.9,1626.0
خضراوات,النجف,طينية,تنقيط,محسنة,يوريا (N),33.0,39.0,69.5,1241.0
تمور,ميسان,طينية,سيحي/غمر,عادية,يوريا (N),37.0,39.5,46.3,1090.0
حنطة,النجف,مختلطة,تنقيط,محسنة,يوريا (N),44.0,25.7,43.5,1070.0
ذرة,الأنبار,مختلطة,تنقيط,عادية,داب (DAP),86.0,33.8,40.1,1092.0
خضراوات,بغداد,رملية,تنقيط,محسنة,عضوي,48.0,19.6,38.7,2513.0
تمور,بابل,رملية,رش محوري,محسنة,مركب (NPK),93.0,25.3,69.3,1508.0
خضراوات,الأنبار,مختلطة,سيحي/غمر,عادية,يوريا (N),48.0,21.9,63.3,3174.0
خضراوات,البصرة,رملية,تنقيط,محسنة,يوريا (N),39.0,20.4,74.5,2613.0
تمور,ميسان,مختلطة,رش محوري,محسنة,عضوي,81.0,18.0,35.4,2511.0
خضراوات,بابل,طينية,سيحي/غمر,عادية,مركب (NPK),111.0,26.2,24.1,1599.0
تمور,ديالى,مختلطة,تنقيط,محسنة,داب (DAP),40.0,20.0,31.2,2211.0
رز,النجف,مختلطة,تنقيط,محسنة,مركب (NPK),92.0,37.3,32.3,1888.0
رز,البصرة,طينية,رش محوري,محسنة,داب (DAP),21.0,29.0,48.9,1668.0
تمور,البصرة,طينية,تنقيط,عادية,داب (DAP),107.0,24.3,66.8,1547.0
فواكه,الموصل,طينية,تنقيط,محسنة,عضوي,68.0,31.7,71.6,2167.0
حنطة,كربلاء,طينية,رش محوري,محسنة,مركب (NPK),75.0,41.9,32.3,762.0
ذرة,الأنبار,رملية,سيحي/غمر,عادية,مركب (NPK),66.0,30.8,52.1,852.0
رز,البصرة,طينية,سيحي/غمر,محسنة,مركب (NPK),22.0,26.2,36.2,1379.0
رز,كربلاء,رملية,تنقيط,محسنة,عضوي,84.0,31.6,35.2,1347.0
تمور,الأنبار,طينية,تنقيط,محسنة,مركب (NPK),70.0,34.6,34.3,1260.0
تمور,الأنبار,مختلطة,سيحي/غمر,عادية,يوريا (N),33.0,23.8,73.8,837.0
فواكه,كربلاء,مختلطة,سيحي/غمر,محسنة,عضوي,48.0,27.6,73.6,2732.0
رز,ميسان,رملية,تنقيط,محسنة,مركب (NPK),31.0,39.9,40.7,1009.0
خضراوات,واسط,مختلطة,رش محوري,عادية,عضوي,43.0,18.4,53.9,3450.0
شعير,بغداد,مختلطة,سيحي/غمر,عادية,يوريا (N),59.0,36.0,44.2,980.0
شعير,بابل,رملية,سيحي/غمر,محسنة,داب (DAP),106.0,35.5,69.4,1182.0
تمور,ديالى,رملية,سيحي/غمر,محسنة,يوريا (N),95.0,21.2,20.7,1190.0
ذرة,النجف,رملية,سيحي/غمر,محسنة,يوريا (N),90.0,32.2,70.3,1084.0
خضراوات,الموصل,رملية,تنقيط,محسنة,مركب (NPK),72.0,33.1,34.7,2400.0
حنطة,بابل,مختلطة,تنقيط,عادية,مركب (NPK),73.0,29.3,59.8,1523.0
شعير,بغداد,مختلطة,تنقيط,محسنة,عضوي,100.0,29.9,55.8,1253.0
حنطة,واسط,طينية,سيحي/غمر,محسنة,يوريا (N),80.0,35.7,46.1,1293.0
خضراوات,واسط,مختلطة,رش محوري,عادية,داب (DAP),31.0,25.8,25.5,2319.0
حنطة,ميسان,مختلطة,سيحي/غمر,محسنة,عضوي,81.0,43.7,65.5,1115.0
تمور,واسط,رملية,سيحي/غمر,عادية,يوريا (N),31.0,21.6,79.3,1101.0
رز,ميسان,طينية,تنقيط,عادية,يوريا (N),105.0,42.5,22.0,1392.0
شعير,الأنبار,مختلطة,تنقيط,محسنة,داب (DAP),114.0,40.9,70.7,1090.0
تمور,بغداد,مختلطة,تنقيط,عادية,عضوي,64.0,17.3,61.8,1200.0
رز,كربلاء,طينية,سيحي/غمر,عادية,يوريا (N),32.0,33.8,73.2,1170.0
ذرة,كربلاء,رملية,رش محوري,عادية,مركب (NPK),32.0,30.9,76.3,1120.0
فواكه,بابل,رملية,سيحي/غمر,محسنة,داب (DAP),76.0,32.4,36.3,1581.0
خضراوات,كربلاء,طينية,سيحي/غمر,عادية,يوريا (N),22.0,29.0,37.8,3343.0
حنطة,واسط,طينية,سيحي/غمر,عادية,مركب (NPK),92.0,18.3,43.5,1210.0
فواكه,واسط,طينية,تنقيط,عادية,داب (DAP),58.0,41.4,76.7,1743.0
رز,ديالى,مختلطة,سيحي/غمر,محسنة,داب (DAP),93.0,16.4,43.0,967.0
تمور,الأنبار,طينية,سيحي/غمر,عادية,مركب (NPK),106.0,41.5,75.7,1981.0
ذرة,ميسان,رملية,رش محوري,عادية,يوريا (N),107.0,41.9,47.8,1427.0
حنطة,ديالى,رملية,سيحي/غمر,عادية,مركب (NPK),75.0,23.0,27.8,1008.0
حنطة,ميسان,مختلطة,سيحي/غمر,محسنة,مركب (NPK),78.0,23.4,35.2,835.0
شعير,ميسان,رملية,سيحي/غمر,عادية,عضوي,96.0,41.8,79.5,635.0
شعير,البصرة,مختلطة,رش محوري,عادية,مركب (NPK),96.0,23.0,72.7,1471.0
ذرة,بغداد,مختلطة,سيحي/غمر,محسنة,مركب (NPK),64.0,35.9,60.8,1165.0
فواكه,كربلاء,مختلطة,سيحي/غمر,عادية,يوريا (N),50.0,39.8,27.7,1593.0
خضراوات,الموصل,رملية,رش محوري,محسنة,يوريا (N),31.0,15.2,37.2,2397.0
رز,بغداد,رملية,سيحي/غمر,محسنة,عضوي,89.0,23.5,21.1,1239.0
فواكه,واسط,رملية,رش محوري,عادية,مركب (NPK),83.0,36.2,24.0,2711.0
ذرة,ميسان,رملية,رش محوري,عادية,عضوي,66.0,44.1,65.0,749.0
فواكه,كربلاء,مختلطة,سيحي/غمر,عادية,مركب (NPK),98.0,39.6,35.2,1329.0
فواكه,الموصل,طينية,تنقيط,محسنة,يوريا (N),58.0,30.8,69.6,2015.0
تمور,بابل,مختلطة,تنقيط,محسنة,يوريا (N),75.0,28.0,76.6,1614.0
ذرة,النجف,طينية,سيحي/غمر,محسنة,مركب (NPK),20.0,24.6,63.5,932.0
حنطة,بغداد,رملية,تنقيط,عادية,عضوي,46.0,44.0,31.1,1337.0
خضراوات,الموصل,مختلطة,تنقيط,محسنة,عضوي,63.0,16.0,75.3,2026.0
تمور,ديالى,رملية,تنقيط,محسنة,داب (DAP),103.0,27.9,32.0,1930.0
فواكه,النجف,طينية,رش محوري,عادية,عضوي,30.0,44.5,29.0,1384.0
تمور,الموصل,مختلطة,تنقيط,عادية,عضوي,30.0,35.8,71.6,1507.0
ذرة,النجف,طينية,سيحي/غمر,عادية,يوريا (N),65.0,19.3,49.9,1475.0
شعير,ميسان,طينية,رش محوري,محسنة,يوريا (N),96.0,17.5,69.5,861.0
رز,النجف,رملية,رش محوري,عادية,داب (DAP),34.0,21.0,30.0,868.0
ذرة,البصرة,رملية,سيحي/غمر,عادية,يوريا (N),114.0,31.2,62.5,1396.0
تمور,بابل,مختلطة,تنقيط,محسنة,مركب (NPK),94.0,41.8,52.9,2128.0
رز,البصرة,طينية,رش محوري,عادية,مركب (NPK),101.0,16.8,34.8,1177.0
ذرة,ميسان,مختلطة,رش محوري,عادية,يوريا (N),27.0,41.2,46.0,619.0
شعير,النجف,مختلطة,رش محوري,محسنة,عضوي,75.0,44.2,59.0,778.0
رز,النجف,مختلطة,سيحي/غمر,محسنة,عضوي,68.0,41.0,63.6,1081.0
خضراوات,بابل,رملية,رش محوري,محسنة,مركب (NPK),115.0,32.6,21.8,2456.0
خضراوات,الموصل,رملية,تنقيط,عادية,مركب (NPK),77.0,42.4,32.6,2536.0
ذرة,بغداد,رملية,رش محوري,محسنة,داب (DAP),63.0,26.2,50.8,995.0
تمور,ديالى,رملية,سيحي/غمر,محسنة,داب (DAP),108.0,34.9,25.7,1576.0
ذرة,الموصل,طينية,سيحي/غمر,محسنة,يوريا (N),59.0,33.0,43.8,1051.0
ذرة,ميسان,رملية,رش محوري,عادية,داب (DAP),112.0,25.1,69.7,1098.0
حنطة,بغداد,رملية,سيحي/غمر,محسنة,يوريا (N),66.0,34.9,48.5,1106.0
خضراوات,النجف,مختلطة,سيحي/غمر,عادية,داب (DAP),97.0,16.7,51.9,2909.0
ذرة,كربلاء,رملية,سيحي/غمر,محسنة,مركب (NPK),88.0,18.1,55.1,1129.0
ذرة,الموصل,مختلطة,رش محوري,عادية,يوريا (N),69.0,44.2,54.8,933.0
خضراوات,كربلاء,رملية,تنقيط,عادية,داب (DAP),64.0,19.3,76.4,2765.0
حنطة,واسط,مختلطة,سيحي/غمر,عادية,داب (DAP),24.0,43.9,35.3,1107.0
تمور,ميسان,رملية,رش محوري,محسنة,داب (DAP),27.0,40.9,66.1,784.0
حنطة,بابل,طينية,تنقيط,محسنة,عضوي,33.0,26.8,59.1,857.0
تمور,الموصل,مختلطة,سيحي/غمر,محسنة,يوريا (N),108.0,41.1,66.9,1725.0
شعير,بابل,طينية,رش محوري,عادية,عضوي,38.0,39.2,65.7,737.0
تمور,بغداد,رملية,تنقيط,محسنة,يوريا (N),34.0,33.9,56.6,1603.0
حنطة,ديالى,طينية,سيحي/غمر,محسنة,عضوي,109.0,32.6,30.1,1643.0
ذرة,ديالى,طينية,رش محوري,عادية,عضوي,85.0,29.4,21.5,1064.0
فواكه,الموصل,مختلطة,تنقيط,محسنة,عضوي,106.0,39.4,63.1,2620.0
ذرة,كربلاء,مختلطة,تنقيط,محسنة,عضوي,34.0,22.3,75.6,686.0
ذرة,النجف,رملية,رش محوري,محسنة,عضوي,71.0,35.1,75.8,1191.0
خضراوات,ميسان,رملية,رش محوري,عادية,يوريا (N),96.0,27.4,27.3,2315.0
رز,ميسان,طينية,تنقيط,محسنة,مركب (NPK),75.0,38.8,31.1,1529.0
رز,النجف,رملية,سيحي/غمر,عادية,عضوي,64.0,34.0,77.1,1150.0
خضراوات,النجف,طينية,رش محوري,محسنة,مركب (NPK),29.0,20.2,41.6,2966.0
شعير,بغداد,مختلطة,سيحي/غمر,عادية,داب (DAP),43.0,39.7,45.4,1106.0
شعير,بابل,طينية,تنقيط,عادية,يوريا (N),66.0,22.1,72.2,1025.0
فواكه,النجف,مختلطة,تنقيط,عادية,مركب (NPK),51.0,34.1,35.4,2519.0
شعير,ديالى,مختلطة,تنقيط,محسنة,داب (DAP),86.0,28.3,46.7,1534.0
خضراوات,الأنبار,رملية,تنقيط,عادية,داب (DAP),61.0,42.2,66.4,1671.0
ذرة,بابل,طينية,سيحي/غمر,محسنة,داب (DAP),60.0,33.5,46.5,1429.0
تمور,واسط,رملية,تنقيط,عادية,عضوي,77.0,25.0,60.2,2573.0
ذرة,بغداد,رملية,تنقيط,عادية,عضوي,27.0,32.4,25.3,1285.0
رز,ديالى,رملية,رش محوري,عادية,يوريا (N),74.0,37.7,40.9,1586.0
خضراوات,كربلاء,مختلطة,رش محوري,محسنة,عضوي,84.0,40.3,51.3,2395.0
حنطة,كربلاء,طينية,رش محوري,عادية,داب (DAP),33.0,18.5,33.6,1115.0
ذرة,الموصل,طينية,سيحي/غمر,محسنة,مركب (NPK),86.0,26.9,46.8,1407.0
تمور,البصرة,مختلطة,تنقيط,عادية,عضوي,31.0,42.9,27.0,1214.0
شعير,الأنبار,رملية,رش محوري,عادية,مركب (NPK),99.0,21.4,69.1,974.0
ذرة,الموصل,رملية,رش محوري,عادية,داب (DAP),29.0,39.7,28.0,837.0
تمور,بغداد,رملية,رش محوري,محسنة,عضوي,22.0,43.6,69.5,1241.0
شعير,واسط,طينية,تنقيط,عادية,يوريا (N),79.0,38.3,27.3,925.0
شعير,بابل,طينية,تنقيط,عادية,عضوي,112.0,15.5,56.2,979.0
ذرة,واسط,رملية,رش محوري,محسنة,داب (DAP),30.0,37.6,57.2,844.0
ذرة,ديالى,طينية,سيحي/غمر,عادية,داب (DAP),26.0,35.8,23.7,953.0
فواكه,بغداد,مختلطة,سيحي/غمر,عادية,عضوي,57.0,27.8,27.8,2916.0
رز,البصرة,مختلطة,رش محوري,عادية,مركب (NPK),105.0,43.9,34.9,953.0
رز,النجف,طينية,رش محوري,محسنة,داب (DAP),58.0,33.6,39.4,1862.0
شعير,واسط,طينية,سيحي/غمر,عادية,عضوي,100.0,18.3,52.9,1374.0
فواكه,كربلاء,رملية,رش محوري,عادية,داب (DAP),71.0,22.3,59.1,3192.0
شعير,النجف,طينية,رش محوري,محسنة,يوريا (N),83.0,38.6,38.9,1202.0
شعير,بغداد,رملية,رش محوري,عادية,عضوي,40.0,39.8,49.7,953.0
رز,بغداد,طينية,تنقيط,عادية,يوريا (N),102.0,18.2,79.3,1358.0
حنطة,الأنبار,مختلطة,تنقيط,محسنة,يوريا (N),70.0,17.1,20.7,1077.0
رز,ميسان,رملية,تنقيط,عادية,مركب (NPK),102.0,34.8,31.1,1117.0
شعير,النجف,رملية,تنقيط,عادية,عضوي,111.0,42.0,66.9,998.0
ذرة,الموصل,طينية,رش محوري,عادية,داب (DAP),60.0,43.8,48.7,1101.0
خضراوات,بابل,مختلطة,رش محوري,عادية,يوريا (N),72.0,42.6,51.2,2418.0
رز,ميسان,طينية,رش محوري,محسنة,يوريا (N),44.0,26.3,53.0,1282.0
تمور,بابل,طينية,تنقيط,عادية,يوريا (N),40.0,23.6,69.0,2232.0
رز,ديالى,رملية,سيحي/غمر,محسنة,داب (DAP),40.0,44.4,64.9,590.0
تمور,النجف,مختلطة,سيحي/غمر,عادية,عضوي,48.0,36.8,26.5,1728.0
رز,الموصل,مختلطة,تنقيط,محسنة,عضوي,63.0,37.0,52.5,1433.0
ذرة,النجف,مختلطة,سيحي/غمر,عادية,مركب (NPK),44.0,37.8,29.6,911.0
خضراوات,بغداد,طينية,تنقيط,محسنة,عضوي,118.0,27.0,68.0,2025.0
ذرة,كربلاء,مختلطة,رش محوري,محسنة,عضوي,32.0,31.2,51.4,1265.0
تمور,بغداد,رملية,سيحي/غمر,عادية,يوريا (N),39.0,24.8,28.9,858.0
شعير,واسط,مختلطة,سيحي/غمر,عادية,عضوي,29.0,41.6,55.6,685.0
رز,الأنبار,طينية,رش محوري,عادية,داب (DAP),23.0,20.4,43.3,1288.0
فواكه,البصرة,رملية,تنقيط,عادية,عضوي,43.0,35.3,68.3,2389.0
رز,بغداد,رملية,تنقيط,عادية,عضوي,95.0,38.5,62.5,1534.0
تمور,بابل,مختلطة,سيحي/غمر,محسنة,يوريا (N),37.0,26.1,23.8,1770.0
خضراوات,ديالى,رملية,سيحي/غمر,محسنة,يوريا (N),89.0,34.1,67.1,1620.0
حنطة,كربلاء,رملية,سيحي/غمر,محسنة,عضوي,80.0,44.4,29.9,918.0
فواكه,النجف,رملية,سيحي/غمر,محسنة,يوريا (N),70.0,43.2,35.6,1394.0
خضراوات,واسط,طينية,سيحي/غمر,عادية,عضوي,24.0,36.2,57.9,1469.0
حنطة,البصرة,طينية,رش محوري,محسنة,داب (DAP),65.0,33.3,28.1,1572.0
فواكه,بابل,رملية,رش محوري,عادية,داب (DAP),111.0,23.3,36.5,3871.0
رز,النجف,رملية,سيحي/غمر,محسنة,داب (DAP),63.0,19.7,71.2,626.0
فواكه,ديالى,رملية,سيحي/غمر,محسنة,مركب (NPK),89.0,42.0,21.3,1853.0
فواكه,كربلاء,رملية,رش محوري,عادية,عضوي,33.0,36.9,78.9,1763.0
فواكه,ميسان,طينية,تنقيط,محسنة,يوريا (N),104.0,33.3,41.0,1848.0
رز,بابل,رملية,سيحي/غمر,محسنة,داب (DAP),52.0,30.7,26.9,1136.0
رز,ديالى,رملية,سيحي/غمر,محسنة,داب (DAP),89.0,21.8,70.8,954.0
حنطة,النجف,رملية,رش محوري,عادية,عضوي,70.0,34.5,52.7,930.0
ذرة,ميسان,مختلطة,تنقيط,محسنة,عضوي,51.0,22.8,29.9,975.0
رز,النجف,طينية,تنقيط,عادية,عضوي,111.0,22.7,76.8,1695.0
رز,بغداد,رملية,سيحي/غمر,عادية,داب (DAP),22.0,42.3,52.3,496.0
رز,بابل,طينية,تنقيط,عادية,مركب (NPK),38.0,28.2,31.7,932.0
خضراوات,ديالى,طينية,سيحي/غمر,عادية,مركب (NPK),28.0,26.9,74.9,1792.0
تمور,بابل,رملية,تنقيط,عادية,مركب (NPK),22.0,41.9,30.1,1232.0
فواكه,كربلاء,مختلطة,سيحي/غمر,عادية,داب (DAP),89.0,44.0,71.4,1545.0
حنطة,كربلاء,مختلطة,سيحي/غمر,محسنة,يوريا (N),40.0,36.8,39.4,1641.0
ذرة,كربلاء,طينية,سيحي/غمر,محسنة,يوريا (N),87.0,36.6,73.4,1074.0
خضراوات,ديالى,رملية,رش محوري,عادية,مركب (NPK),79.0,24.4,48.3,3117.0
شعير,واسط,رملية,تنقيط,عادية,عضوي,49.0,20.2,62.7,1268.0
ذرة,واسط,رملية,سيحي/غمر,محسنة,مركب (NPK),101.0,37.5,59.1,1078.0
خضراوات,واسط,مختلطة,رش محوري,محسنة,مركب (NPK),54.0,15.9,64.4,1154.0
خضراوات,الأنبار,مختلطة,تنقيط,عادية,يوريا (N),39.0,21.8,70.2,1905.0
شعير,بابل,طينية,تنقيط,عادية,مركب (NPK),82.0,17.1,65.8,970.0
خضراوات,بابل,طينية,تنقيط,محسنة,مركب (NPK),96.0,42.0,59.0,2777.0
تمور,الموصل,رملية,رش محوري,عادية,يوريا (N),91.0,18.9,44.8,2568.0
حنطة,بغداد,رملية,رش محوري,عادية,مركب (NPK),41.0,40.8,37.5,1208.0
خضراوات,ديالى,طينية,تنقيط,عادية,مركب (NPK),92.0,24.1,69.8,2327.0
تمور,الأنبار,طينية,سيحي/غمر,عادية,عضوي,100.0,22.3,20.7,1824.0
ذرة,واسط,طينية,تنقيط,عادية,داب (DAP),60.0,16.4,74.2,1010.0
حنطة,النجف,مختلطة,تنقيط,محسنة,عضوي,112.0,40.1,37.1,996.0
فواكه,الموصل,مختلطة,سيحي/غمر,محسنة,عضوي,39.0,21.6,49.3,2541.0
خضراوات,ديالى,مختلطة,سيحي/غمر,عادية,عضوي,115.0,32.2,51.0,2615.0
ذرة,ديالى,رملية,سيحي/غمر,عادية,عضوي,40.0,33.9,55.5,1040.0
خضراوات,كربلاء,رملية,سيحي/غمر,محسنة,داب (DAP),85.0,23.1,48.4,2976.0
تمور,النجف,رملية,سيحي/غمر,عادية,يوريا (N),80.0,29.2,22.7,1056.0
حنطة,بغداد,طينية,سيحي/غمر,محسنة,مركب (NPK),59.0,29.1,46.8,1267.0
حنطة,النجف,رملية,سيحي/غمر,عادية,عضوي,62.0,40.3,37.1,721.0
ذرة,ميسان,رملية,رش محوري,محسنة,يوريا (N),107.0,17.6,57.0,937.0
رز,كربلاء,طينية,تنقيط,محسنة,عضوي,30.0,16.3,47.0,1215.0
خضراوات,الأنبار,مختلطة,سيحي/غمر,محسنة,يوريا (N),31.0,35.2,37.8,3203.0
حنطة,واسط,مختلطة,رش محوري,محسنة,داب (DAP),66.0,16.8,56.2,1122.0
رز,بغداد,رملية,سيحي/غمر,محسنة,مركب (NPK),47.0,31.5,74.0,792.0
